📺央视频道,#genre#
CCTV1,http://192.168.10.10:4011/rtp/239.10.0.48:1025
CCTV2,http://192.168.10.10:4011/rtp/239.10.0.207:1025
CCTV3,http://192.168.10.10:4011/rtp/239.10.0.101:1025
CCTV4,http://192.168.10.10:4011/rtp/239.10.0.245:1025
CCTV5,http://192.168.10.10:4011/rtp/239.10.0.102:1025
CCTV5+,http://192.168.10.10:4011/rtp/239.10.0.213:1025
CCTV6,http://192.168.10.10:4011/rtp/239.10.0.103:1025
CCTV7,http://192.168.10.10:4011/rtp/239.10.0.208:1025
CCTV8,http://192.168.10.10:4011/rtp/239.10.0.104:1025
CCTV9,http://192.168.10.10:4011/rtp/239.10.0.209:1025
CCTV10,http://192.168.10.10:4011/rtp/239.10.0.210:1025
CCTV11,http://192.168.10.10:4011/rtp/239.11.0.24:1025
CCTV12,http://192.168.10.10:4011/rtp/239.10.0.211:1025
CCTV13,http://192.168.10.10:4011/rtp/239.10.0.198:1025
CCTV14,http://192.168.10.10:4011/rtp/239.10.0.212:1025
CCTV15,http://192.168.10.10:4011/rtp/239.11.0.25:1025
CCTV16,http://192.168.10.10:4011/rtp/239.11.0.126:1025
CCTV17,http://192.168.10.10:4011/rtp/239.10.0.244:1025
CCTV17.576,http://192.168.10.10:4011/rtp/239.10.0.243:1025
CGTN,http://192.168.10.10:4011/rtp/239.11.0.103:1025
CGTN.576,http://192.168.10.10:4011/rtp/239.10.0.196:1025
CGTN纪录,http://192.168.10.10:4011/rtp/239.11.0.104:1025
CGTN纪录,http://192.168.10.10:4011/rtp/239.11.0.178:1025
CGTN西语,http://192.168.10.10:4011/rtp/239.11.0.105:1025
CGTN法语,http://192.168.10.10:4011/rtp/239.11.0.106:1025
CGTN阿语,http://192.168.10.10:4011/rtp/239.11.0.107:1025
CGTN俄语,http://192.168.10.10:4011/rtp/239.11.0.108:1025
CETV1,http://192.168.10.10:4011/rtp/239.10.0.223:1025
CETV2.576,http://192.168.10.10:4011/rtp/239.11.0.35:1025
CETV4,http://192.168.10.10:4011/rtp/239.11.0.176:1025
CETV4.576,http://192.168.10.10:4011/rtp/239.11.0.36:1025

📡4K频道,#genre#
CCTV4K,http://192.168.10.10:4011/rtp/239.11.0.161:1025
广东4K,http://192.168.10.10:4011/rtp/239.10.0.75:1025
南国都市4K,http://192.168.10.10:4011/rtp/239.11.0.170:1025
咪咕体育4K-1,http://192.168.10.10:4011/rtp/239.10.0.68:1025

📡卫视频道,#genre#
广东卫视.超清,http://192.168.10.10:4011/rtp/239.10.0.45:1025
